trade_date,exec_date,target_date,ts_code,name,rank,StrengthScore,ThemeBoost,board,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,entry_price_proxy_t1,entry_price_proxy_mode,label_version,buy_window_start,buy_window_end,run_id,run_attempt,commit_sha,generated_at_utc,limit_type,open_times,fd_amount,seal_amount,first_seal_time,last_seal_time,open_times_break,fd_amount_break,seal_amount_break,first_time_break,last_time_break,up_limit,down_limit,is_hot_board,board_rank,board_limit_up_count,is_st_like,is_limit_up,break_count_proxy,limit_up_strength,open_t1,up_limit_t1,down_limit_t1,open_times_t1
20260227,20260302,20260303,000960.SZ,锡业股份,11,60.08,0.8363999999999999,小金属,FULLY_READY,1,1,1,strong_open_tradable,46.5,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,2.0,65788275.0,65788275.0,134121.0,134454.0,,,,,,44.36,36.3,1.0,1.0,13.0,0.0,1.0,0.0,1.7250777210989563,46.5,48.8,39.92,9.0
20260227,20260302,20260303,000593.SZ,德龙汇能,12,53.48,0.01,供气供热,FULLY_READY,1,1,1,strong_open_tradable,15.7,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,0.0,187970228.0,187970228.0,132603.0,132603.0,,,,,,15.74,12.88,0.0,,,0.0,1.0,0.0,2.404991997221763,15.7,17.31,14.17,
20260227,20260302,20260303,000510.SZ,新金路,13,48.613333,0.2454420922806225,化工原料,FULLY_READY,1,1,1,strong_open_tradable,21.3,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,2.0,73013039.0,73013039.0,111321.0,133042.0,,,,,,20.41,16.7,1.0,6.0,3.0,0.0,1.0,0.0,1.7406438649130496,21.3,22.45,18.37,7.0
20260227,20260302,20260303,001209.SZ,洪兴股份,14,36.093333,0.0164,服饰,FULLY_READY,1,1,1,strong_open_tradable,34.09,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,0.0,389252530.0,389252530.0,102039.0,102039.0,,,,,,32.52,26.6,0.0,,,0.0,1.0,0.0,2.838665576063057,34.09,35.77,29.27,
20260227,20260302,20260303,600259.SH,中稀有色,15,56.8,0.83,小金属,FULLY_READY,1,1,1,strong_open_tradable,107.1,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,10.0,127105422.0,127105422.0,104619.0,111525.0,,,,,,102.08,83.52,1.0,1.0,13.0,0.0,1.0,0.0,1.6147645799469348,107.1,112.29,91.87,1.0
20260227,20260302,20260303,600821.SH,金开新能,16,48.733333,0.1115060031977598,新型电力,FULLY_READY,1,1,1,strong_open_tradable,7.39,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,3.0,106400628.0,106400628.0,104110.0,111934.0,,,,,,7.39,6.05,1.0,8.0,3.0,0.0,1.0,0.0,1.7292458933409915,7.39,8.13,6.65,
20260227,20260302,20260303,002046.SZ,国机精工,17,48.68,0.0573942950693908,机械基件,FULLY_READY,1,1,1,strong_open_tradable,52.6,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,0.0,76413964.0,76413964.0,135939.0,135939.0,,,,,,52.57,43.01,1.0,9.0,3.0,0.0,1.0,0.0,2.4146380079721554,52.6,57.83,47.31,
20260227,20260302,20260303,603530.SH,神马电力,18,70.853333,0.679305707944409,电气设备,FULLY_READY,1,1,1,strong_open_tradable,60.17,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,2.0,48545156.0,48545156.0,93143.0,94737.0,,,,,,60.17,49.23,1.0,2.0,8.0,0.0,1.0,0.0,1.6879264909470062,60.17,66.19,54.15,
20260227,20260302,20260303,002756.SZ,永兴材料,19,59.626667,0.83,小金属,FULLY_READY,1,1,1,strong_open_tradable,66.06,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,2.0,52107106.0,52107106.0,135003.0,141830.0,,,,,,64.9,53.1,1.0,1.0,13.0,0.0,1.0,0.0,1.695600904389246,66.06,71.39,58.41,
20260227,20260302,20260303,002350.SZ,北京科锐,20,67.8,0.679305707944409,电气设备,FULLY_READY,1,1,1,strong_open_tradable,12.32,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,0.0,184573275.0,184573275.0,93009.0,93009.0,,,,,,12.32,10.08,1.0,2.0,8.0,0.0,1.0,0.0,2.647673078717613,12.32,13.55,11.09,
20260227,20260302,20260303,603897.SH,长城科技,21,59.04,0.679305707944409,电气设备,FULLY_READY,1,1,1,strong_open_tradable,30.1,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,4.0,23405896.0,23405896.0,135152.0,140722.0,,,,,,30.64,25.07,1.0,2.0,8.0,0.0,1.0,0.0,1.5004292656803335,30.1,33.7,27.58,5.0
