ts_code,trade_date,minute_freq,minute_rows,has_minute_data,first_limit_time,last_limit_time,limit_touch_count,open_board_count,max_drawdown_after_limit,reseal_count,reseal_minutes_avg,reseal_speed_score,reseal_acceptance_score,intraday_vwap,intraday_vwap_position,late_volume_ratio,late_price_change_pct,late_price_weakness,late_limit_hold_minutes,late_withdraw_score,limitup_path_score,limitup_quality_score,intraday_risk_score,intraday_tag
002585.SZ,20260915,1min,241,1,09:37:00,15:00:00,2,1,3.6484,1,8.0,74.0,57.0095,11.8197,2.033,0.009331,0.0,0.0,31,0.0,74.8,75.7628,17.98,healthy_limitup
002631.SZ,20260915,1min,241,1,10:29:00,15:00:00,1,0,0.8815,0,,0.0,59.7111,9.8423,3.7356,0.005254,0.0,0.0,31,0.0,57.0,68.5633,10.2,neutral_limitup
002846.SZ,20260915,1min,241,1,09:49:00,15:00:00,1,0,3.5375,0,,0.0,43.7748,11.4565,1.165,0.032323,0.0,0.0,31,0.0,70.0,69.6324,8.25,neutral_limitup
002882.SZ,20260915,1min,241,1,09:31:00,15:00:00,1,0,0.1279,0,,0.0,64.2324,23.3587,0.3908,0.073854,0.0,0.0,31,0.0,70.0,75.7697,8.25,healthy_limitup
002912.SZ,20260915,1min,241,1,09:30:00,15:00:00,3,2,6.2917,2,34.5,30.5,13.9246,28.1892,0.9251,0.014431,0.0,0.0,31,0.0,56.1,54.4224,39.36,weak_limitup
003026.SZ,20260915,1min,241,1,10:26:00,15:00:00,2,1,3.9895,1,150.0,20.0,36.0628,29.8889,2.3122,0.045589,0.0,0.0,31,0.0,51.0,58.7688,35.05,neutral_limitup
600110.SH,20260915,1min,241,1,09:48:00,15:00:00,1,0,1.0717,0,,0.0,58.5697,11.9084,1.8607,0.038779,0.0,0.0,31,0.0,70.0,74.0709,8.25,neutral_limitup
600163.SH,20260915,1min,241,1,11:13:00,15:00:00,4,5,3.3386,5,7.6,75.6,11.4282,6.0486,3.9918,0.067208,2.443,0.0,28,12.0,7.12,28.6325,58.032,high_open_board_risk
601218.SH,20260915,1min,241,1,10:13:00,15:00:00,1,0,0.9653,0,,0.0,59.2085,5.0075,3.4453,0.040461,0.0,0.0,31,0.0,57.0,68.4125,10.2,neutral_limitup
601579.SH,20260915,1min,241,1,09:45:00,15:00:00,2,1,0.9709,1,1.0,100.0,82.1748,25.0175,2.9282,0.008436,0.0,0.0,31,0.0,80.0,85.6524,10.7,healthy_limitup
603082.SH,20260915,1min,241,1,11:01:00,15:00:00,2,2,1.9103,2,3.0,90.0,61.0382,45.316,6.276,0.007343,0.0,0.0,31,0.0,43.0,62.6615,26.45,neutral_limitup
603090.SH,20260915,1min,241,1,09:54:00,15:00:00,1,0,0.7958,0,,0.0,60.2251,38.9532,3.2264,0.023453,0.0,0.0,31,0.0,70.0,74.5675,8.25,neutral_limitup
603186.SH,20260915,1min,241,1,09:32:00,15:00:00,1,1,1.4747,1,1.0,100.0,79.1516,249.5358,0.8152,0.022726,0.0,0.0,31,0.0,80.0,84.7455,10.7,healthy_limitup
603200.SH,20260915,1min,241,1,09:34:00,15:00:00,1,0,2.0849,0,,0.0,52.4906,39.2758,1.3601,0.027163,0.0,0.0,31,0.0,70.0,72.2472,8.25,neutral_limitup
603248.SH,20260915,1min,241,1,11:05:00,15:00:00,1,0,0.9751,0,,0.0,59.1495,18.0321,2.373,0.150222,0.0,0.0,31,0.0,45.0,62.9949,12.0,neutral_limitup
603266.SH,20260915,1min,241,1,11:10:00,15:00:00,2,1,2.6898,1,15.0,52.0,55.0613,16.4094,1.9536,0.032464,0.0,0.0,31,0.0,45.4,61.9484,27.89,neutral_limitup
603353.SH,20260915,1min,241,1,09:54:00,15:00:00,1,0,0.5792,0,,0.0,61.5251,40.597,2.0766,0.015559,0.0,0.0,31,0.0,70.0,74.9575,8.25,neutral_limitup
605058.SH,20260915,1min,241,1,09:36:00,15:00:00,4,12,1.4144,12,1.9167,95.4167,0.0,39.8491,1.1315,0.051719,0.0,0.0,26,24.0,0.0,19.0,57.1458,high_open_board_risk
605162.SH,20260915,1min,241,1,10:50:00,15:00:00,1,1,1.9048,1,1.0,100.0,76.5714,11.1064,3.9941,0.026591,0.0,0.0,31,0.0,67.0,78.1214,12.65,healthy_limitup
605507.SH,20260915,1min,241,1,13:11:00,15:00:00,1,1,0.5076,1,1.0,100.0,84.9543,17.2723,2.65,0.059011,0.0,0.0,31,0.0,55.0,75.2363,14.45,healthy_limitup
688004.SH,20260915,1min,241,1,09:30:00,15:00:00,2,1,3.6523,1,7.0,78.0,58.3862,27.2028,0.6516,0.020384,0.0,0.0,31,0.0,75.6,76.5359,16.86,healthy_limitup
002842.SZ,20260915,1min,241,1,09:31:00,10:33:00,1,1,4.0087,0,,0.0,28.948,36.4348,0.4534,0.093752,0.0273,0.8667,0,70.0,42.5,35.3094,58.825,late_withdraw_risk
300806.SZ,20260915,1min,241,1,,,0,0,,0,,0.0,0.0,55.4352,3.5803,0.09962,0.7192,,0,0.0,0.0,0.0,80.0,no_limit_touch
300904.SZ,20260915,1min,241,1,,,0,0,,0,,0.0,0.0,42.6849,0.7382,0.126912,0.4908,,0,0.0,0.0,0.0,80.0,no_limit_touch
300905.SZ,20260915,1min,241,1,10:20:00,13:50:00,3,1,4.4634,0,,0.0,26.2194,40.1587,0.9745,0.097536,-0.2705,3.7274,0,70.0,29.5,28.6408,60.775,late_withdraw_risk
