ts_code,trade_date,name,close,pct_change,turnover_rate,amount,l_sell,l_buy,l_amount,net_amount,net_rate,amount_rate,float_values,reason
603178.SH,20260424,圣龙股份,17.17,-10.0105,14.13,587947447.0,48632099.54,38534392.0,87166491.54,-10097707.54,-1.72,14.83,4059191996.77,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
603318.SH,20260424,水发燃气,11.39,10.0483,3.52,183816148.0,38033488.0,44089323.2,82122811.2,6055835.2,3.29,44.68,5228817824.36,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
603318.SH,20260424,水发燃气,11.39,10.0483,3.52,320295243.0,43751743.0,114250567.0,158002310.0,70498824.0,22.01,49.33,5228817824.36,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
603390.SH,20260424,通达电气,14.6,10.0226,14.55,720009816.0,75579799.0,61585842.0,137165641.0,-13993957.0,-1.94,19.05,5117503713.8,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
603390.SH,20260424,通达电气,14.6,10.0226,14.55,836095776.0,75810697.0,73029747.0,148840444.0,-2780950.0,-0.33,17.8,5117503713.8,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
603680.SH,20260424,今创集团,14.03,10.0392,1.39,147707855.0,27998956.0,35226757.2,63225713.2,7227801.2,4.89,42.8,10995574301.01,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
603687.SH,20260424,大胜达,16.7,-10.0216,17.34,1628253028.0,74162202.0,174153297.5,248315499.5,99991095.5,6.14,15.25,9185532128.8,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
603906.SH,20260424,龙蟠科技,32.56,6.9294,16.13,8745904715.0,872620147.09,1202957338.41,2075577485.5,330337191.32,3.78,23.73,18398969081.68,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
603959.SH,20260424,百利科技,5.31,-10.0,7.56,201071337.0,37296743.56,20608243.0,57904986.56,-16688500.56,-8.3,28.8,2603487647.52,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
603959.SH,20260424,百利科技,5.31,-10.0,7.56,778799451.0,90371287.12,68242419.48,158613706.6,-22128867.64,-2.84,20.37,2603487647.52,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
603991.SH,20260424,至正股份,108.18,-10.0,7.32,601895757.0,110441752.0,78689663.0,189131415.0,-31752089.0,-5.28,31.42,8063196083.64,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
688141.SH,20260424,杰华特,83.1,16.0128,8.21,2873303500.0,598571088.21,522745134.39,1121316222.6,-75825953.82,-2.64,39.03,37421725707.9,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688268.SH,20260424,华特气体,176.8,20.0027,12.95,2674231500.0,306470810.78,454785054.76,761255865.54,148314243.98,5.55,28.47,21201038653.6,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688268.SH,20260424,华特气体,176.8,20.0027,12.95,7183012600.0,873026564.46,1107523401.72,1980549966.18,234496837.26,3.26,27.57,21201038653.6,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券
688287.SH,20260424,*ST观典,1.43,-4.6667,14.0,72503300.0,5490815.76,5439601.13,10930416.89,-51214.63,-0.07,15.08,529837308.0,有价格涨跌幅限制的日价格振幅达到30%的前五只证券
688633.SH,20260424,星球石墨,33.6,20.0,9.17,421678900.0,95714779.12,65266187.91,160980967.03,-30448591.21,-7.22,38.18,4830666926.4,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688807.SH,20260424,优迅股份,390.0,15.3846,25.22,1395794100.0,290814301.56,461859111.8,752673413.36,171044810.24,12.25,53.92,5863905840.0,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
920012.BJ,20260424,创达新材,56.5,-6.115,29.97,234557700.0,34854345.77,25960110.61,60814456.38,-8894235.16,-3.79,25.93,749679685.5,当日换手率达到20%的前5只股票
920078.BJ,20260424,族兴新材,25.62,-7.2075,23.8,129271700.0,12072681.19,13506261.16,25578942.35,1433579.97,1.11,19.79,530334000.0,当日换手率达到20%的前5只股票
920159.BJ,20260424,农大科技,42.7,0.0469,25.03,157203700.0,18761591.3,10271976.47,29033567.77,-8489614.83,-5.4,18.47,614880000.0,当日换手率达到20%的前5只股票
920181.BJ,20260424,赛英电子,80.41,-7.4577,33.21,277870300.0,33803135.32,26571490.93,60374626.25,-7231644.39,-2.6,21.73,805708200.0,当日换手率达到20%的前5只股票
920981.BJ,20260424,晶赛科技,38.28,-8.8571,22.38,336443200.0,38798862.46,50184575.02,88983437.48,11385712.56,3.38,26.45,1428212177.04,当日换手率达到20%的前5只股票
