rank,trade_date,target_date,ts_code,name,close_T,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,eret_plus_conf_score,eret_plus_src,r_p05,r_p25,r_p50,r_p75,r_p95,close_T2_p05,close_T2_p25,close_T2_p50,close_T2_p75,close_T2_p95,rank_eret_plus,rank_r_p50,p_premium,e_premium,score_ev,risk_flags,confidence,data_quality,dec_rank,dec_weight,dec_can_buy,dec_p_fill,dec_reason
55,20260420,20260422,002536.SZ,飞龙股份,40.96,0.0,-0.00329053500276464,-0.00329053500276464,down,high,1.0,ehx:coldstart_v1,-0.08553864197535917,-0.037020448229846216,-0.00329596071867509,0.030428526792496035,0.07894672053800986,37.60200369572402,39.47136737605264,40.82521968628676,42.22550859600485,44.32472737145944,55,55,0.0389159090827006,0.0,0.0,,,,,,,,
56,20260420,20260422,002361.SZ,神剑股份,20.63,0.0,-0.0033160574600411986,-0.0033160574600411986,down,high,1.0,ehx:coldstart_v1,-0.08556424902029214,-0.037046055274779194,-0.003321567763608068,0.030402919747563057,0.07892111349307689,18.93821954006705,19.879723085058107,20.56158973459935,21.266844140889884,22.324114023470912,56,56,0.0381601680143337,0.0,0.0,,,,,,,,
57,20260420,20260422,600601.SH,方正科技,11.75,0.0,-0.0033274627102972873,-0.0033274627102972873,down,high,1.0,ehx:coldstart_v1,-0.0855756922823194,-0.037057498536806455,-0.0033330110256353275,0.030391476485535796,0.07890967023104963,10.786307959719203,11.322543541947804,11.710902313154007,12.112581636815056,12.714752211822278,57,57,0.037822449121512,0.0,0.0,,,,,,,,
58,20260420,20260422,002843.SZ,泰嘉股份,27.98,0.0,-0.003345960353721949,-0.003345960353721949,down,high,1.0,ehx:coldstart_v1,-0.08559425185368039,-0.037076058108167435,-0.0033515705969963095,0.030372916914174816,0.07889111065968864,25.68470599741638,26.96160754021764,27.88638002930286,28.84287184948854,30.276779933432984,58,58,0.0372747186011885,0.0,0.0,,,,,,,,
59,20260420,20260422,002331.SZ,皖通科技,8.98,0.0,-0.003441648388133642,-0.003441648388133642,down,high,1.0,ehx:coldstart_v1,-0.08569026574051439,-0.03717207199500144,-0.003447584483830319,0.030276903027340804,0.07879509677285464,8.242548800771111,8.652322744898719,8.94909399747456,9.25604438679231,9.716203726709269,59,59,0.0344413167632456,0.0,0.0,,,,,,,,
60,20260420,20260422,000404.SZ,长虹华意,7.79,0.0,-0.003497255729084983,-0.003497255729084983,down,high,1.0,ehx:coldstart_v1,-0.0857460666801651,-0.037227872934652156,-0.0035033854234810323,0.03022110208769009,0.07873929583320392,7.149874422053313,7.505326638686569,7.762756377870428,8.029015855426321,8.42817412237324,60,60,0.032794737407495,0.0,0.0,,,,,,,,
61,20260420,20260422,605162.SH,新中港,14.01,0.0,-0.0035216868691952574,-0.0035216868691952574,down,high,1.0,ehx:coldstart_v1,-0.08577058386262479,-0.03725239011711183,-0.003527902605940709,0.030196584905230413,0.07871477865074424,12.858444775771984,13.497695541338842,13.960661166962574,14.43950633067877,15.157358733302626,61,61,0.0320713111429982,0.0,0.0,,,,,,,,
62,20260420,20260422,600800.SH,渤海化学,5.08,0.0,-0.00371258374804718,-0.00371258374804718,down,high,1.0,ehx:coldstart_v1,-0.08596217374860199,-0.03744398000308903,-0.003719492491917907,0.030004995019253217,0.07852318876476705,4.661555020415581,4.893301757093057,5.061140074559921,5.234735180021571,5.494977264482187,62,62,0.0264186966784826,0.0,0.0,,,,,,,,
63,20260420,20260422,600872.SH,中炬高新,21.47,0.0,-0.0037750521814656577,-0.0037750521814656577,down,high,1.0,ehx:coldstart_v1,-0.08602487693134292,-0.03750668318582997,-0.0037821956746588448,0.02994229183651228,0.0784604855820261,19.70025805623362,20.679645942087486,21.38894962966393,22.12258215355694,23.222394597797752,63,63,0.0245689547002975,0.0,0.0,,,,,,,,
64,20260420,20260422,002647.SZ,仁东控股,11.54,0.0,-0.003780780548817005,-0.003780780548817005,down,high,1.0,ehx:coldstart_v1,-0.08603062702205609,-0.03751243327654314,-0.003787945765372014,0.02993654174579911,0.07845473549131293,10.588713122563957,11.115125382211467,11.49636979246665,11.890690735406157,12.481830121877637,64,64,0.0243993330053645,0.0,0.0,,,,,,,,
65,20260420,20260422,301265.SZ,华新科技,28.2,0.0,-0.003796000902299526,-0.003796000902299526,down,high,1.0,ehx:coldstart_v1,-0.08604590525545662,-0.037527711509943676,-0.0038032239987725487,0.029921263512398575,0.0784394572579124,25.874969496060125,27.161329887834835,28.092952774555155,29.05652995830898,30.50105994186996,65,65,0.0239486457507181,0.0,0.0,,,,,,,,
66,20260420,20260422,001366.SZ,播恩集团,15.63,0.0,-0.003799008946735862,-0.003799008946735862,down,high,1.0,ehx:coldstart_v1,-0.08604892476650103,-0.03753073102098807,-0.0038062435098169477,0.029918244001354177,0.078436437746868,14.341296172240233,15.054266108900029,15.570621490162518,16.104687657047506,16.905323666573384,66,66,0.023859575067148,0.0,0.0,,,,,,,,
67,20260420,20260422,002217.SZ,合力泰,2.95,0.0,-0.003834870971772961,-0.003834870971772961,down,high,1.0,ehx:coldstart_v1,-0.08608492419921523,-0.037566730453702284,-0.003842242942531157,0.029882244568639967,0.07840043831415379,2.706673110292315,2.841233929121178,2.9386871306332703,3.039482938464263,3.1905892214730547,67,67,0.0227976708460278,0.0,0.0,,,,,,,,
68,20260420,20260422,603130.SH,云中马,44.48,0.0,-0.0038547103454412185,-0.0038547103454412185,down,high,1.0,ehx:coldstart_v1,-0.0861048401455285,-0.037586646400015536,-0.003862158888844413,0.02986232862232671,0.07838052236784053,40.81031262126782,42.839175679055614,44.30854248383477,45.828307989633814,48.106638027042926,68,68,0.0222102105835103,0.0,0.0,,,,,,,,
