rank,trade_date,target_date,ts_code,name,close_T,r_p05,r_p25,r_p50,r_p75,r_p95,close_T2_p05,close_T2_p25,close_T2_p50,close_T2_p75,close_T2_p95,rank_r_p50,p_premium,e_premium,score_ev,risk_flags,confidence,data_quality,dec_rank,dec_weight,dec_can_buy,dec_p_fill,dec_reason
27,20260227,20260303,001216.SZ,华瓷股份,20.66,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,19.028860158580006,19.97486985387044,20.66,21.368629839522782,22.430959944153177,27,0.1798195804570529,0.0,0.0,,,,,,,,
28,20260227,20260303,600126.SH,杭钢股份,9.94,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,9.155221199239364,9.610368167835052,9.94,10.280938073807185,10.79204946006208,28,0.1746998535987209,0.0,0.0,,,,,,,,
29,20260227,20260303,603381.SH,永臻股份,29.5,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,27.17092810639449,28.52171639347425,29.5,30.51183834781811,32.02871821648203,29,0.1507457168897012,0.0,0.0,,,,,,,,
30,20260227,20260303,300830.SZ,金现代,14.88,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,13.705200346547459,14.386547116437182,14.88,15.390378122560456,16.15550261224585,30,0.1443020071699911,0.0,0.0,,,,,,,,
31,20260227,20260303,688028.SH,沃尔德,114.13,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,105.11925507738316,110.34520311821072,114.13,118.0446139198807,123.91313932363029,31,0.1415472650129842,0.0,0.0,,,,,,,,
32,20260227,20260303,002843.SZ,泰嘉股份,25.27,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,23.274893330460635,24.431992314003196,25.27,26.136751018622494,27.436125740016976,32,0.1293001676024406,0.0,0.0,,,,,,,,
33,20260227,20260303,002167.SZ,东方锆业,15.58,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,14.349934233817837,15.06333360712979,15.58,16.114387846068006,16.915506095348814,33,0.1211516204155091,0.0,0.0,,,,,,,,
34,20260227,20260303,000731.SZ,四川美丰,7.89,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,7.267071957947543,7.628350587949553,7.89,8.16062388353508,8.566324973831971,34,0.0932508367264446,0.0,0.0,,,,,,,,
35,20260227,20260303,603738.SH,泰晶科技,21.78,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,20.060434378212612,21.05772823897862,21.78,22.527045397134863,23.646965517117916,35,0.060560614317619,0.0,0.0,,,,,,,,
36,20260227,20260303,003035.SZ,南网能源,8.22,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,7.571017933375008,7.947407076418927,8.22,8.50194275318864,8.924612330151941,36,0.0486267016689651,0.0,0.0,,,,,,,,
37,20260227,20260303,603318.SH,水发燃气,8.02,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,7.386808251297756,7.754039507649609,8.02,8.295082832186482,8.707468477836809,37,0.047147364917404,0.0,0.0,,,,,,,,
38,20260227,20260303,603530.SH,神马电力,60.17,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,55.4194828529409,58.17463306424901,60.17,62.23380723349884,65.32772796900758,38,0.0469714658848538,0.0,0.0,,,,,,,,
39,20260227,20260303,002182.SZ,宝武镁业,21.79,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,20.069644862316473,21.06739661741708,21.79,22.53738839318497,23.657822709733672,39,0.0459181688465105,0.0,0.0,,,,,,,,
40,20260227,20260303,002628.SZ,成都路桥,5.27,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,4.853925122735558,5.095235437071501,5.27,5.4507589184068275,5.721740508503737,40,0.0407920626901398,0.0,0.0,,,,,,,,
41,20260227,20260303,600230.SH,沧州大化,24.76,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,22.80515864116365,23.938905013641442,24.76,25.609258220066998,26.88240891661339,41,0.0402757250397223,0.0,0.0,,,,,,,,
42,20260227,20260303,600498.SH,烽火通信,51.55,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,47.48004555541139,49.840490850291445,51.55,53.31814463830588,55.96882793422537,42,0.0380978308978207,0.0,0.0,,,,,,,,
43,20260227,20260303,002734.SZ,利民股份,22.48,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,20.70516826548299,21.734514729671226,22.48,23.25105512064241,24.40696900022088,43,0.0372880933939845,0.0,0.0,,,,,,,,
44,20260227,20260303,600301.SH,华锡有色,64.76,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,59.647095056613814,62.612418767504835,64.76,66.98124242049833,70.31117937963987,44,0.0346003238582715,0.0,0.0,,,,,,,,
45,20260227,20260303,603897.SH,长城科技,30.64,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,28.220923294234822,29.623911535459357,30.64,31.690939897530402,33.26643817467828,45,0.0345152112037815,0.0,0.0,,,,,,,,
46,20260227,20260303,000510.SZ,新金路,20.41,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,18.798598055983444,19.733160392908797,20.41,21.11005493827009,22.15953012875926,46,0.0344168359902273,0.0,0.0,,,,,,,,
47,20260227,20260303,002046.SZ,国机精工,52.57,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,48.41951493400537,50.82666545101496,52.57,54.37313023541688,57.07626158103255,47,0.0306327667068579,0.0,0.0,,,,,,,,
48,20260227,20260303,600452.SH,涪陵电力,13.28,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,12.231522889929453,12.839606566282646,13.28,13.735498754543203,14.418351793724788,48,0.0276303647098476,0.0,0.0,,,,,,,,
49,20260227,20260303,603226.SH,菲林格尔,31.82,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,29.307760418490602,30.764780191198327,31.82,32.91141343144312,34.54758690333756,49,0.0270328592659161,0.0,0.0,,,,,,,,
50,20260227,20260303,002973.SZ,侨银股份,15.59,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,14.3591447179217,15.073001985568256,15.59,16.12473084211811,16.92636328796457,50,0.0262929597325579,0.0,0.0,,,,,,,,
51,20260227,20260303,603217.SH,元利科技,28.33,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,26.093301466242572,27.390516116173746,28.33,29.30170780995549,30.7584266804385,51,0.0256089620680102,0.0,0.0,,,,,,,,
52,20260227,20260303,603618.SH,杭电股份,18.15,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,16.717028648510507,17.548106865815512,18.15,18.772537830945716,19.705804597598263,52,0.0197008393489122,0.0,0.0,,,,,,,,
53,20260227,20260303,688343.SH,云天励飞-U,110.26,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,101.55479772918837,106.60354066252444,110.26,114.04187444848897,119.71140578133249,53,0.0141719307473413,0.0,0.0,,,,,,,,
54,20260227,20260303,002356.SZ,赫美集团,4.22,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,3.8868242918299916,4.080055701032587,4.22,4.364744333145506,4.581735283849293,54,0.0139335646136106,0.0,0.0,,,,,,,,
55,20260227,20260303,002756.SZ,永兴材料,64.9,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,59.77604183406789,62.74777606564336,64.9,67.12604436519985,70.46318007626046,55,0.0137128297376953,0.0,0.0,,,,,,,,
56,20260227,20260303,600725.SH,云维股份,5.39,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,4.964450931981909,5.211255978333091,5.39,5.574874871008122,5.852026819892817,56,0.0132767129574396,0.0,0.0,,,,,,,,
57,20260227,20260303,600456.SH,宝钛股份,44.35,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,40.84849700063037,42.879258374596034,44.35,45.871187482228244,48.15164925088061,57,0.0131666731916569,0.0,0.0,,,,,,,,
58,20260227,20260303,000960.SZ,锡业股份,44.36,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,40.85770748473423,42.8889267530345,44.36,45.88153047827835,48.16250644349636,58,0.0126707622914281,0.0,0.0,,,,,,,,
59,20260227,20260303,603950.SH,长源东谷,44.51,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,40.99586474629216,43.03395242961149,44.51,46.03667541902996,48.32536433273271,59,0.011785068836746,0.0,0.0,,,,,,,,
60,20260227,20260303,300317.SZ,珈伟新能,5.36,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,4.936819479670321,5.182250843017695,5.36,5.543845882857799,5.8194552420455485,60,0.0115684638653493,0.0,0.0,,,,,,,,
61,20260227,20260303,600108.SH,亚盛集团,3.97,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,3.6565621892334286,3.838346240070942,3.97,4.10616943189281,4.310305468455378,61,0.0114057475934971,0.0,0.0,,,,,,,,
62,20260227,20260303,003018.SZ,金富科技,26.57,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,24.47225626396277,25.688881511003757,26.57,27.48134050513651,28.847560780065336,62,0.0100934077517781,0.0,0.0,,,,,,,,
63,20260227,20260303,603117.SH,万林物流,5.96,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,5.489448525902073,5.7623535493256455,5.96,6.164425645864268,6.470886798990945,63,0.0093721849232209,0.0,0.0,,,,,,,,
64,20260227,20260303,603578.SH,三星新材,15.98,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,14.718353597972339,15.450068744668425,15.98,16.528107688072318,17.34979379997908,64,0.0093156874263421,0.0,0.0,,,,,,,,
65,20260227,20260303,301226.SZ,祥明智能,41.82,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,38.51824452235314,40.43315862966418,41.82,43.25440948155096,45.404779519094184,65,0.0085710676545861,0.0,0.0,,,,,,,,
66,20260227,20260303,002633.SZ,申科股份,19.35,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,17.822286740974015,18.708312278431418,19.35,20.01369735695866,21.00866771148906,66,0.0082820093936112,0.0,0.0,,,,,,,,
67,20260227,20260303,688118.SH,普元信息,35.5,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,32.69721856871202,34.32274345655376,35.5,36.71763597788281,38.543033785936,67,0.0080535413232133,0.0,0.0,,,,,,,,
68,20260227,20260303,603353.SH,和顺石油,42.13,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,38.80376952957288,40.73287836125662,42.13,43.5750423591043,45.74135249018264,68,0.0075969832748786,0.0,0.0,,,,,,,,
69,20260227,20260303,002394.SZ,联发股份,15.66,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,14.423618106648737,15.140680634637517,15.66,16.197131814468868,17.002363636274865,69,0.0073672133271749,0.0,0.0,,,,,,,,
70,20260227,20260303,601958.SH,金钼股份,24.53,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,22.59331750677481,23.716532309556726,24.53,25.371369310914517,26.632693486450986,70,0.0070744527848512,0.0,0.0,,,,,,,,
71,20260227,20260303,600459.SH,贵研铂业,25.85,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,23.809101408484665,24.99275826343422,25.85,26.73664478952875,28.06584291173086,71,0.0058240209046438,0.0,0.0,,,,,,,,
72,20260227,20260303,605398.SH,新炬网络,33.41,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,30.77222739100474,32.302052362914395,33.41,34.555949803410265,36.27388052924286,72,0.0036520790220766,0.0,0.0,,,,,,,,
73,20260227,20260303,000993.SZ,闽东电力,14.43,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,13.290728561873644,13.951470086706218,14.43,14.924943300305603,15.666928944536801,73,0.0034610367399055,0.0,0.0,,,,,,,,
74,20260227,20260303,603093.SH,南华期货,19.66,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,18.107811748193754,19.008032010023857,19.66,20.334330234512,21.34524068257751,74,0.0029469725730147,0.0,0.0,,,,,,,,
75,20260227,20260303,000657.SZ,中钨高新,66.22,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,60.99182573577774,64.02400201952084,66.22,68.49131984381407,71.89632950154034,75,0.0023099512969949,0.0,0.0,,,,,,,,
