rank,trade_date,target_date,ts_code,name,close_T,T+1建议买入方式,T+1可接受买入价,T+2卖出计划,t1_buy_method,t1_max_buy_price,t2_sell_plan,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,eret_plus_conf_score,eret_plus_src,r_p05,r_p25,r_p50,r_p75,r_p95,close_T2_p05,close_T2_p25,close_T2_p50,close_T2_p75,close_T2_p95,rank_eret_plus,rank_r_p50,p_premium,e_premium,score_ev,risk_flags,confidence,data_quality,dec_rank,dec_weight,dec_can_buy,dec_p_fill,dec_reason
32,20260609,20260611,002354.SZ,天娱数科,8.06,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.08910020363131638,0.08910020363131638,up,high,1.0,ehx:model_v1,0.0031091728149042347,0.051627366560417186,0.08535185407158831,0.11907634158275943,0.16759453532827326,8.085098931126115,8.487045338450935,8.778147641268411,9.079234638090256,9.530603975080078,32,32,0.3136664597989252,0.0,0.0,,,,,,,,
33,20260609,20260611,002583.SZ,海能达,9.39,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.08910020363131638,0.08910020363131638,up,high,1.0,ehx:model_v1,0.0031091728149042347,0.051627366560417186,0.08535185407158831,0.11907634158275943,0.16759453532827326,9.419240566163054,9.8875131176246,10.226650912098062,10.57742099896619,11.103271876675176,33,33,0.303469321353369,0.0,0.0,,,,,,,,
34,20260609,20260611,000670.SZ,盈方微,10.04,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.08910020363131638,0.08910020363131638,up,high,1.0,ehx:model_v1,0.0031091728149042347,0.051627366560417186,0.08535185407158831,0.11907634158275943,0.16759453532827326,10.071264673511934,10.571952257822254,10.934566044458416,11.30961734074766,11.871868971439698,34,34,0.3488450979048655,0.0,0.0,,,,,,,,
35,20260609,20260611,600198.SH,大唐电信,9.34,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.08910020363131638,0.08910020363131638,up,high,1.0,ehx:model_v1,0.0031091728149042347,0.051627366560417186,0.08535185407158831,0.11907634158275943,0.16759453532827326,9.369084865597756,9.83486395299401,10.172195901916496,10.521098203444538,11.044149023231752,35,35,0.0654535659892714,0.0,0.0,,,,,,,,
36,20260609,20260611,603330.SH,天洋新材,8.53,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.08910020363131638,0.08910020363131638,up,high,1.0,ehx:model_v1,0.0031091728149042347,0.051627366560417186,0.08535185407158831,0.11907634158275943,0.16759453532827326,8.55656251643992,8.981947485978468,9.290024736975129,9.60866891599378,10.08635879744827,36,36,0.086093503575645,0.0,0.0,,,,,,,,
37,20260609,20260611,003036.SZ,泰坦股份,81.95,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.08596914807539498,0.08596914807539498,up,high,1.0,ehx:model_v1,0.00023013108116833048,0.04874832482668128,0.0824728123378524,0.11619729984902352,0.16471549359453735,81.96886141231711,86.04389990446799,88.99517168477863,92.04767092143337,96.6237720853971,37,37,0.0896728849644467,0.0,0.0,,,,,,,,
38,20260609,20260611,002859.SZ,洁美科技,88.33,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.08596914807539498,0.08596914807539498,up,high,1.0,ehx:model_v1,0.00023013108116833048,0.04874832482668128,0.0824728123378524,0.11619729984902352,0.16471549359453735,88.35032981757132,92.74261962857423,95.92365484949964,99.21379832202817,104.14615971083741,38,38,0.0924330551054014,0.0,0.0,,,,,,,,
39,20260609,20260611,603616.SH,韩建河山,7.29,市价竞价,≤7.56,冲高至7.91附近优先兑现；强势放量再看8.18；弱于7.18止损,市价竞价,≤7.56,冲高至7.91附近优先兑现；强势放量再看8.18；弱于7.18止损,0.0,0.08481776339212416,0.08481776339212416,up,high,1.0,ehx:model_v1,-0.0008306683783816798,0.04768752536713127,0.0814120128783024,0.11513650038947351,0.16365469413498734,7.283946941911627,7.646064502795722,7.908321495128585,8.179573798709782,8.586216973993942,39,39,0.750291778072429,0.0,0.0,,,,,,,,
40,20260609,20260611,600579.SH,中化装备,7.17,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.08481776339212416,0.08481776339212416,up,high,1.0,ehx:model_v1,-0.0008306683783816798,0.04768752536713127,0.0814120128783024,0.11513650038947351,0.16365469413498734,7.164046580727896,7.52020335871678,7.778143363521529,8.044930608607563,8.44488006907223,40,40,0.1493804146730004,0.0,0.0,,,,,,,,
41,20260609,20260611,605358.SH,立昂微,71.17,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.08432270157676158,0.08432270157676158,up,high,1.0,ehx:model_v1,-0.0012871273601335886,0.04723106638537936,0.08095555389655049,0.11468004140772162,0.16319823515323545,71.07845407405094,74.61208173855347,77.17124667121813,79.81818995023062,83.7863089507482,41,41,0.153446783773786,0.0,0.0,,,,,,,,
