signal_date,stage,board,samples,hits
20220223,2.0,SZ_MAIN,2,1.0
20220223,3.0,SH_MAIN,1,0.0
20220223,3.0,SZ_MAIN,3,0.0
20220224,2.0,SZ_MAIN,3,1.0
20220224,3.0,SH_MAIN,3,2.0
20220224,3.0,SZ_MAIN,1,0.0
20220225,2.0,SH_MAIN,3,1.0
20220225,2.0,SZ_MAIN,3,2.0
20220225,3.0,SZ_MAIN,1,0.0
20220228,2.0,SH_MAIN,4,1.0
20220228,2.0,SZ_MAIN,1,1.0
20220228,3.0,SH_MAIN,1,1.0
20220228,3.0,SZ_MAIN,2,1.0
20220301,2.0,SH_MAIN,2,0.0
20220301,2.0,SZ_MAIN,3,2.0
20220301,3.0,SH_MAIN,1,1.0
20220301,3.0,SZ_MAIN,1,1.0
20220302,2.0,SH_MAIN,5,3.0
20220302,2.0,SZ_MAIN,6,2.0
20220302,3.0,SZ_MAIN,2,0.0
20220303,2.0,SH_MAIN,11,5.0
20220303,2.0,SZ_MAIN,7,2.0
20220303,3.0,SH_MAIN,3,0.0
20220303,3.0,SZ_MAIN,2,1.0
20220304,2.0,SH_MAIN,1,1.0
20220304,2.0,SZ_MAIN,2,0.0
20220304,3.0,SH_MAIN,5,2.0
20220304,3.0,SZ_MAIN,2,2.0
20220307,2.0,SH_MAIN,2,0.0
20220307,2.0,SZ_MAIN,5,1.0
20220307,3.0,SH_MAIN,1,0.0
20220308,2.0,SH_MAIN,4,2.0
20220308,2.0,SZ_MAIN,2,1.0
20220308,3.0,SZ_MAIN,1,1.0
20220309,2.0,SH_MAIN,4,3.0
20220309,2.0,SZ_MAIN,3,1.0
20220309,3.0,SH_MAIN,2,1.0
20220309,3.0,SZ_MAIN,1,1.0
20220310,2.0,SH_MAIN,6,1.0
20220310,2.0,SZ_MAIN,5,1.0
20220310,3.0,SH_MAIN,3,1.0
20220310,3.0,SZ_MAIN,1,0.0
20220311,2.0,SH_MAIN,3,2.0
20220311,2.0,SZ_MAIN,3,0.0
20220311,3.0,SH_MAIN,1,0.0
20220311,3.0,SZ_MAIN,1,1.0
20220314,2.0,SH_MAIN,3,1.0
20220314,2.0,SZ_MAIN,6,1.0
20220314,3.0,SH_MAIN,2,1.0
20220315,2.0,SH_MAIN,5,3.0
20220315,3.0,SH_MAIN,1,1.0
20220315,3.0,SZ_MAIN,1,1.0
20220316,2.0,SH_MAIN,6,2.0
20220316,2.0,SZ_MAIN,4,3.0
20220316,3.0,SH_MAIN,3,3.0
20220317,2.0,SH_MAIN,4,3.0
20220317,2.0,SZ_MAIN,8,4.0
