ts_code,trade_date,name,close,pct_change,turnover_rate,amount,l_sell,l_buy,l_amount,net_amount,net_rate,amount_rate,float_values,reason
603221.SH,20260730,爱丽家居,20.49,9.9839,1.37,131204200.0,131204300.0,131204100.0,262408400.0,-200.0,0.0,200.0,4964112300.0,有价格涨跌幅限制的连续10个交易日内收盘价格涨幅偏离值累计达到100%的证券
603256.SH,20260730,宏和科技,125.16,-10.0022,2.54,9727672481.0,2084383950.37,1579497619.65,3663881570.02,-504886330.72,-5.19,37.66,110106693900.0,非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
603358.SH,20260730,华达科技,35.41,-5.3967,3.69,646939795.0,232833022.26,83995189.86,316828212.12,-148837832.4,-23.01,48.97,16351298468.63,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
603400.SH,20260730,华之杰,45.3,-3.9033,29.69,506935051.0,58446574.52,66219041.6,124665616.12,7772467.08,1.53,24.59,1641222397.5,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
603407.SH,20260730,长裕集团,58.17,-7.3874,27.76,596914206.0,148598838.24,58789927.54,207388765.78,-89808910.7,-15.05,34.74,2089000574.64,有价格涨跌幅限制的日换手率达到20%的前五只证券
603459.SH,20260730,红板科技,85.1,-10.0042,22.61,1557944615.0,317300711.95,117262636.61,434563348.56,-200038075.34,-12.84,27.89,6727313115.8,有价格涨跌幅限制的日换手率达到20%的前五只证券
603556.SH,20260730,海兴电力,26.99,9.9837,5.19,882875641.0,103878033.24,139648713.69,243526746.93,35770680.45,4.05,27.58,13124269948.3,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
603580.SH,20260730,艾艾精工,56.2,-3.0533,13.23,1007990386.0,111937597.8,124632896.6,236570494.4,12695298.8,1.26,23.47,7343833840.0,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
603629.SH,20260730,利通电子,87.28,-9.9742,10.18,10106507280.0,1914700230.69,1383907621.47,3298607852.16,-530792609.22,-5.25,32.64,31483938352.0,非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
603725.SH,20260730,天安新材,8.88,-9.5723,9.46,793941287.0,219499011.8,173399230.4,392898242.2,-46099781.4,-5.81,49.49,2707136198.4,非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
603773.SH,20260730,沃格光电,66.92,-10.0054,7.07,3718421779.0,863608208.5,792195405.8,1655803614.3,-71412802.7,-1.92,44.53,15035494120.36,非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
603803.SH,20260730,瑞斯康达,8.78,-10.041,9.24,357679670.0,73025389.57,64654900.4,137680289.97,-8370489.17,-2.34,38.49,3730477630.46,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
603919.SH,20260730,金徽酒,16.89,10.0326,4.56,377800005.0,85302455.8,77193376.99,162495832.79,-8109078.81,-2.15,43.01,8567621349.33,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
603950.SH,20260730,长源东谷,48.12,-8.8291,2.93,1545859416.0,431010979.28,366900373.0,797911352.28,-64110606.28,-4.15,51.62,15584566656.0,非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
605068.SH,20260730,明新旭腾,20.59,9.9893,3.67,227336991.0,54193397.0,67398924.0,121592321.0,13205527.0,5.81,53.49,3339667012.05,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
605289.SH,20260730,罗曼股份,77.95,-9.9885,4.4,1611584138.0,404675034.86,449693616.0,854368650.86,45018581.14,2.79,53.01,11879461827.8,非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
605388.SH,20260730,均瑶健康,6.12,10.0719,2.47,89647630.0,12081713.0,24788148.0,36869861.0,12706435.0,14.17,41.13,3674962080.0,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
605388.SH,20260730,均瑶健康,6.12,10.0719,2.47,138998054.0,15681015.0,42087265.8,57768280.8,26406250.8,19.0,41.56,3674962080.0,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
688147.SH,20260730,微导纳米,81.1,-15.1851,4.06,1605953100.0,581929510.35,411172276.23,993101786.58,-170757234.12,-10.63,61.84,37667960572.9,有价格涨跌幅限制的日收盘价格跌幅达到15%的前五只证券
688237.SH,20260730,超卓航科,54.95,-19.0722,7.29,383710500.0,118256088.84,83386598.28,201642687.12,-34869490.56,-9.09,52.55,4928023262.4,有价格涨跌幅限制的日收盘价格跌幅达到15%的前五只证券
688260.SH,20260730,昀冢科技,102.81,16.1564,11.51,1317946500.0,240920771.62,168184944.71,409105716.33,-72735826.91,-5.52,31.04,12337200000.0,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688260.SH,20260730,昀冢科技,102.81,16.1564,11.51,2155669000.0,299400181.6,367360721.38,666760902.98,67960539.78,3.15,30.93,12337200000.0,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券
688277.SH,20260730,天智航,17.4,-8.8528,6.49,603447500.0,89072145.17,66010035.52,155082180.69,-23062109.65,-3.82,25.7,8116140546.6,有价格涨跌幅限制的日价格振幅达到30%的前五只证券
688432.SH,20260730,有研硅,28.88,-19.9335,5.67,2259965200.0,253477434.44,385359118.43,638836552.87,131881683.99,5.84,28.27,36108717659.04,有价格涨跌幅限制的日收盘价格跌幅达到15%的前五只证券
688498.SH,20260730,源杰科技,1016.8,-17.1987,8.41,11039757800.0,2689198690.0,2814349540.27,5503548230.27,125150850.27,1.13,49.85,124956732019.2,有价格涨跌幅限制的日收盘价格跌幅达到15%的前五只证券
688663.SH,20260730,新风光,46.0,-16.9675,5.7,554968500.0,136037002.46,140697403.83,276734406.29,4660401.37,0.84,49.86,9073407264.0,有价格涨跌幅限制的日收盘价格跌幅达到15%的前五只证券
688806.SH,20260730,泰诺麦博,23.47,-13.1384,36.57,464483300.0,60128056.9,41386733.65,101514790.55,-18741323.25,-4.03,21.86,1197572240.2,有价格涨跌幅限制的日换手率达到30%的前五只证券
900916.SH,20260730,凤凰B股,0.404,10.0817,1.66,1018925.0,356489.6,744370.0,1100859.6,387880.4,38.07,108.04,3281661596.17,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
920065.BJ,20260730,千岸科技,40.63,-29.9845,62.75,441225200.0,41418991.01,26125670.25,67544661.26,-15293320.76,-3.47,15.31,639922500.0,当日收盘价跌幅达到-20%的前5只股票
920117.BJ,20260730,龙鑫智能,24.8,-10.1775,33.06,170689600.0,21932756.32,17190487.92,39123244.24,-4742268.4,-2.78,22.92,501307274.4,当日换手率达到20%的前5只股票
920176.BJ,20260730,维琪科技,65.26,-19.4321,66.02,379325500.0,47120495.05,21407679.27,68528174.32,-25712815.78,-6.78,18.07,518621220.0,当日换手率达到20%的前5只股票
920222.BJ,20260730,益坤电气,23.3,-17.6678,38.45,113130400.0,9698704.44,19626096.16,29324800.6,9927391.72,8.78,25.92,269408347.0,当日换手率达到20%的前5只股票
920238.BJ,20260730,长鹰硬科,61.01,-15.8483,36.96,472180000.0,38493311.61,51191611.18,89684922.79,12698299.57,2.69,18.99,1184017470.41,当日换手率达到20%的前5只股票
920685.BJ,20260730,新芝生物,13.65,30.0,18.92,146455400.0,33462778.63,25106781.12,58569559.75,-8355997.51,-5.71,39.99,795985745.1,当日收盘价涨幅达到20%的前5只股票
