ts_code,trade_date,turnover_rate,turnover_rate_f,volume_ratio,total_mv,float_mv
600986.SH,20260609,3.3084,3.8176,0.69,1206260.3643,
002911.SZ,20260609,0.4818,3.217,1.25,1374768.204,
300492.SZ,20260609,2.0022,5.5723,1.06,740700.8644,
301260.SZ,20260609,1.9323,3.5207,0.81,776752.2467,
002697.SZ,20260609,1.4368,2.8676,0.66,624240.0,
002985.SZ,20260609,1.2089,2.2558,0.85,931513.0552,
600219.SH,20260609,1.5893,2.9954,0.76,5271019.0156,
688178.SH,20260609,2.4355,5.0339,0.6,317721.9409,
002668.SZ,20260609,1.1802,2.4754,0.94,988709.6223,
300407.SZ,20260609,2.2456,2.7432,0.86,406194.8997,
603626.SH,20260609,6.725,9.5507,0.9,1287875.7605,
600118.SH,20260609,4.0537,8.3517,0.9,9442175.743,
300452.SZ,20260609,1.4137,1.8508,0.94,285333.2903,
600359.SH,20260609,1.8294,3.0652,0.84,238445.5125,
002648.SZ,20260609,1.2516,2.5247,0.94,8118436.1129,
300534.SZ,20260609,1.2897,2.0683,0.77,232058.925,
605300.SH,20260609,0.9007,3.082,0.63,413957.1219,
301039.SZ,20260609,0.613,1.2298,0.81,1443075.8034,
300716.SZ,20260609,5.0514,6.1918,1.03,293796.72,
002556.SZ,20260609,0.7527,1.2098,0.85,482724.2208,
603912.SH,20260609,2.7688,4.662,0.97,469260.5025,
601798.SH,20260609,5.0298,8.0269,0.97,270859.5433,
301631.SZ,20260609,4.3916,5.3401,0.8,1010405.3527,
920175.BJ,20260609,14.4929,17.3942,1.33,140539.0,
600985.SH,20260609,2.0408,5.2934,1.11,4600085.875,
605377.SH,20260609,1.0357,1.9689,1.29,450902.9171,
002857.SZ,20260609,3.2499,4.7452,0.75,224429.212,
920475.BJ,20260609,2.1286,4.1671,0.82,140877.64,
920522.BJ,20260609,2.2839,2.9759,0.77,710143.4619,
688176.SH,20260609,1.3813,1.5886,0.62,575168.6794,
600371.SH,20260609,1.2716,2.5818,0.79,208608.114,
300673.SZ,20260609,1.557,2.0288,0.47,328669.4813,
000069.SZ,20260609,0.8857,1.784,1.07,1486985.2398,
300132.SZ,20260609,2.146,2.3667,0.52,333711.2524,
300214.SZ,20260609,1.6754,2.8003,0.77,338914.0056,
920185.BJ,20260609,0.6952,2.5772,0.89,3173274.8296,
600807.SH,20260609,1.9379,2.4959,0.51,233543.569,
300715.SZ,20260609,6.6686,10.5305,0.6,892210.8148,
000863.SZ,20260609,1.4795,2.7528,0.78,541941.098,
600155.SH,20260609,1.043,1.1653,1.06,1173177.5128,
002982.SZ,20260609,14.414,18.8985,2.3,257446.9057,
688739.SH,20260609,0.389,0.8581,0.91,848725.1,
000572.SZ,20260609,1.6846,2.572,0.77,707193.6632,
601949.SH,20260609,0.4749,2.0714,0.87,967215.7714,
688319.SH,20260609,1.6617,2.4659,0.58,1409027.0097,
600828.SH,20260609,3.3499,21.7301,0.94,789784.041,
600312.SH,20260609,1.1457,1.9559,0.6,2557796.6675,
300887.SZ,20260609,1.7433,2.7206,0.66,445867.303,
688262.SH,20260609,3.6021,5.08,0.9,1122239.7094,
300595.SZ,20260609,1.0506,1.4237,0.88,984818.0353,
605133.SH,20260609,3.2054,7.013,0.94,1012030.795,
600651.SH,20260609,1.0206,2.865,0.92,1559371.4253,
300213.SZ,20260609,1.3979,1.4329,0.71,420215.8146,
000001.SZ,20260609,0.5924,1.4088,1.23,21598786.9544,
600130.SH,20260609,3.499,4.2052,0.64,351750.0,
002753.SZ,20260609,1.7949,2.1954,0.84,280785.0096,
300590.SZ,20260609,6.336,9.0324,1.23,697977.1724,
920781.BJ,20260609,2.1552,2.348,0.89,100623.1522,
301696.SZ,20260609,19.6077,19.6077,0.9,5358133.95,
300197.SZ,20260609,15.9512,24.576,0.89,871797.6355,
301318.SZ,20260609,1.3769,2.7766,0.96,296439.857,
300150.SZ,20260609,1.6834,1.844,0.76,245744.5423,
688035.SH,20260609,3.6723,7.2753,0.86,1120851.2,
688728.SH,20260609,1.1158,3.3062,0.93,3531596.6938,
920556.BJ,20260609,4.7311,6.4944,1.31,140666.8544,
600379.SH,20260609,3.5002,6.2716,0.59,402845.9081,
002584.SZ,20260609,9.1328,9.83,1.95,461150.5405,
003036.SZ,20260609,4.3157,13.746,0.64,1772507.5149,
688648.SH,20260609,2.3106,2.7001,0.98,502112.0,
002239.SZ,20260609,1.5007,1.5007,0.84,889307.3752,
300240.SZ,20260609,1.654,2.8183,0.79,209933.0668,
300850.SZ,20260609,3.5977,3.9662,0.83,1195879.8915,
920799.BJ,20260609,1.7775,2.7663,0.76,636638.5976,
002592.SZ,20260609,0.7239,1.147,0.73,194081.8425,
603991.SH,20260609,2.1678,2.9696,0.67,1606506.1492,
688420.SH,20260609,1.3437,2.7532,0.99,206572.48,
603353.SH,20260609,2.9819,9.0809,0.78,698110.266,
002724.SZ,20260609,0.8375,2.0643,0.67,409665.4348,
